date,market,crop,modal_price,min_price,max_price,rainfall_mm,temp_c,humidity,data_source
2026-03-23,Davangere,tomato,1929.91,1698.32,2161.49,5.33,28.83,64.72,synthetic_demo_v2
2026-03-24,Davangere,tomato,1971.7,1735.09,2208.3,13.63,31.38,67.47,synthetic_demo_v2
2026-03-25,Davangere,tomato,1911.38,1682.01,2140.74,0.0,30.89,69.03,synthetic_demo_v2
2026-03-26,Davangere,tomato,1925.38,1694.34,2156.43,0.61,29.71,58.78,synthetic_demo_v2
2026-03-27,Davangere,tomato,1874.3,1649.39,2099.22,6.22,28.58,62.33,synthetic_demo_v2
2026-03-28,Davangere,tomato,1888.17,1661.59,2114.75,10.61,30.98,73.01,synthetic_demo_v2
2026-03-29,Davangere,tomato,1868.01,1643.85,2092.17,0.0,30.25,77.22,synthetic_demo_v2
2026-03-30,Davangere,tomato,1899.08,1671.19,2126.97,5.44,34.27,64.74,synthetic_demo_v2
2026-03-31,Davangere,tomato,1909.27,1680.16,2138.39,4.54,30.73,83.53,synthetic_demo_v2
2026-04-01,Davangere,tomato,1946.85,1713.22,2180.47,0.0,30.57,68.43,synthetic_demo_v2
2026-04-02,Davangere,tomato,1949.97,1715.97,2183.96,0.0,28.72,49.75,synthetic_demo_v2
2026-04-03,Davangere,tomato,1920.94,1690.43,2151.45,2.48,31.33,58.84,synthetic_demo_v2
2026-04-04,Davangere,tomato,1855.73,1633.04,2078.42,0.0,31.32,67.96,synthetic_demo_v2
2026-04-05,Davangere,tomato,1879.53,1653.98,2105.07,6.95,30.81,75.79,synthetic_demo_v2
2026-04-06,Davangere,tomato,1857.4,1634.51,2080.29,0.0,30.48,60.32,synthetic_demo_v2
2026-04-07,Davangere,tomato,1767.04,1554.99,1979.08,3.78,31.25,62.1,synthetic_demo_v2
2026-04-08,Davangere,tomato,1743.94,1534.67,1953.21,4.86,32.72,65.31,synthetic_demo_v2
2026-04-09,Davangere,tomato,1731.06,1523.33,1938.79,0.04,30.92,54.88,synthetic_demo_v2
2026-04-10,Davangere,tomato,1732.54,1524.63,1940.44,3.31,32.83,72.55,synthetic_demo_v2
2026-04-11,Davangere,tomato,1772.7,1559.98,1985.43,0.0,31.65,55.88,synthetic_demo_v2
2026-04-12,Davangere,tomato,1778.0,1564.64,1991.36,5.09,30.21,81.0,synthetic_demo_v2
2026-04-13,Davangere,tomato,1789.63,1574.87,2004.38,0.0,31.51,61.74,synthetic_demo_v2
2026-04-14,Davangere,tomato,1777.6,1564.29,1990.92,5.33,31.34,48.69,synthetic_demo_v2
2026-04-15,Davangere,tomato,1725.91,1518.8,1933.01,6.86,32.23,80.23,synthetic_demo_v2
2026-04-16,Davangere,tomato,1786.74,1572.33,2001.15,0.0,31.68,49.67,synthetic_demo_v2
2026-04-17,Davangere,tomato,1827.35,1608.07,2046.64,4.27,29.75,81.08,synthetic_demo_v2
2026-04-18,Davangere,tomato,1824.52,1605.58,2043.46,0.0,31.17,59.15,synthetic_demo_v2
2026-04-19,Davangere,tomato,1802.27,1586.0,2018.54,0.67,32.22,53.61,synthetic_demo_v2
2026-04-20,Davangere,tomato,1790.38,1575.54,2005.23,12.07,30.0,66.69,synthetic_demo_v2
2026-04-21,Davangere,tomato,1775.58,1562.51,1988.66,0.0,31.45,65.78,synthetic_demo_v2
2026-04-22,Davangere,tomato,1722.44,1515.75,1929.13,11.81,31.56,63.66,synthetic_demo_v2
2026-04-23,Davangere,tomato,1689.52,1486.78,1892.26,0.0,31.97,63.83,synthetic_demo_v2
2026-04-24,Davangere,tomato,1700.45,1496.4,1904.51,2.08,31.32,64.07,synthetic_demo_v2
2026-04-25,Davangere,tomato,1718.81,1512.55,1925.07,2.08,31.5,70.38,synthetic_demo_v2
2026-04-26,Davangere,tomato,1701.7,1497.49,1905.9,0.0,29.7,59.07,synthetic_demo_v2
2026-04-27,Davangere,tomato,1656.71,1457.91,1855.52,7.33,30.55,77.56,synthetic_demo_v2
2026-04-28,Davangere,tomato,1734.09,1526.0,1942.19,3.12,29.01,61.95,synthetic_demo_v2
2026-04-29,Davangere,tomato,1712.79,1507.26,1918.33,0.0,30.27,67.3,synthetic_demo_v2
2026-04-30,Davangere,tomato,1681.58,1479.79,1883.37,0.0,29.72,79.29,synthetic_demo_v2
2026-05-01,Davangere,tomato,1666.44,1466.46,1866.41,0.0,30.06,72.63,synthetic_demo_v2
2026-05-02,Davangere,tomato,1635.35,1439.11,1831.59,5.41,31.11,70.99,synthetic_demo_v2
2026-05-03,Davangere,tomato,1682.91,1480.96,1884.86,0.25,31.47,58.66,synthetic_demo_v2
2026-05-04,Davangere,tomato,1657.64,1458.73,1856.56,8.98,31.11,65.02,synthetic_demo_v2
2026-05-05,Davangere,tomato,1609.22,1416.12,1802.33,5.81,29.6,57.61,synthetic_demo_v2
2026-05-06,Davangere,tomato,1589.19,1398.49,1779.9,4.23,28.06,67.89,synthetic_demo_v2
2026-05-07,Davangere,tomato,1601.71,1409.5,1793.91,0.08,31.16,69.89,synthetic_demo_v2
2026-05-08,Davangere,tomato,1584.25,1394.14,1774.36,0.0,30.77,52.87,synthetic_demo_v2
2026-05-09,Davangere,tomato,1579.78,1390.2,1769.35,0.0,30.08,66.69,synthetic_demo_v2
2026-05-10,Davangere,tomato,1589.11,1398.42,1779.81,8.67,30.18,62.48,synthetic_demo_v2
2026-05-11,Davangere,tomato,1552.97,1366.62,1739.33,6.61,30.42,76.61,synthetic_demo_v2
2026-05-12,Davangere,tomato,1540.42,1355.57,1725.27,3.13,29.77,64.3,synthetic_demo_v2
2026-05-13,Davangere,tomato,1557.11,1370.26,1743.96,0.0,30.59,70.23,synthetic_demo_v2
2026-05-14,Davangere,tomato,1609.95,1416.76,1803.14,14.25,29.38,64.71,synthetic_demo_v2
2026-05-15,Davangere,tomato,1613.35,1419.75,1806.95,12.71,27.9,68.89,synthetic_demo_v2
2026-05-16,Davangere,tomato,1564.68,1376.92,1752.44,0.0,27.55,53.95,synthetic_demo_v2
2026-05-17,Davangere,tomato,1615.14,1421.32,1808.96,0.0,29.27,55.69,synthetic_demo_v2
2026-05-18,Davangere,tomato,1640.04,1443.24,1836.85,0.0,30.75,57.06,synthetic_demo_v2
2026-05-19,Davangere,tomato,1612.45,1418.96,1805.95,3.61,29.38,76.4,synthetic_demo_v2
2026-05-20,Davangere,tomato,1622.07,1427.42,1816.72,0.0,28.73,60.42,synthetic_demo_v2
2026-05-21,Davangere,tomato,1651.7,1453.5,1849.9,4.92,29.09,71.96,synthetic_demo_v2
2026-05-22,Davangere,tomato,1632.37,1436.48,1828.25,2.32,29.32,77.23,synthetic_demo_v2
2026-05-23,Davangere,tomato,1632.85,1436.91,1828.79,1.25,28.02,70.49,synthetic_demo_v2
2026-05-24,Davangere,tomato,1617.08,1423.03,1811.13,4.72,27.08,73.35,synthetic_demo_v2
2026-05-25,Davangere,tomato,1579.44,1389.9,1768.97,0.0,29.97,54.32,synthetic_demo_v2
2026-05-26,Davangere,tomato,1594.24,1402.93,1785.54,3.37,27.83,75.74,synthetic_demo_v2
2026-05-27,Davangere,tomato,1662.45,1462.95,1861.94,0.0,27.3,71.47,synthetic_demo_v2
2026-05-28,Davangere,tomato,1620.14,1425.72,1814.55,1.06,28.8,70.53,synthetic_demo_v2
2026-05-29,Davangere,tomato,1625.32,1430.28,1820.36,3.48,27.81,75.34,synthetic_demo_v2
2026-05-30,Davangere,tomato,1621.22,1426.68,1815.77,4.7,27.99,65.85,synthetic_demo_v2
2026-05-31,Davangere,tomato,1630.72,1435.04,1826.41,2.19,27.41,71.37,synthetic_demo_v2
2026-06-01,Davangere,tomato,1695.07,1491.66,1898.48,4.22,29.07,71.7,synthetic_demo_v2
2026-06-02,Davangere,tomato,1730.95,1523.24,1938.66,4.52,28.47,71.91,synthetic_demo_v2
2026-06-03,Davangere,tomato,1731.03,1523.3,1938.75,0.0,28.2,49.89,synthetic_demo_v2
2026-06-04,Davangere,tomato,1729.95,1522.36,1937.54,5.07,29.32,66.21,synthetic_demo_v2
2026-06-05,Davangere,tomato,1763.29,1551.69,1974.88,3.0,26.98,53.71,synthetic_demo_v2
2026-06-06,Davangere,tomato,1725.07,1518.06,1932.08,0.0,28.55,63.34,synthetic_demo_v2
2026-06-07,Davangere,tomato,1749.96,1539.96,1959.95,3.37,28.87,73.48,synthetic_demo_v2
2026-06-08,Davangere,tomato,1728.9,1521.43,1936.37,1.63,27.21,52.03,synthetic_demo_v2
2026-06-09,Davangere,tomato,1759.88,1548.69,1971.06,8.94,27.65,61.05,synthetic_demo_v2
2026-06-10,Davangere,tomato,1800.82,1584.72,2016.91,0.0,27.74,66.15,synthetic_demo_v2
2026-06-11,Davangere,tomato,1777.03,1563.79,1990.27,9.96,28.45,62.91,synthetic_demo_v2
2026-06-12,Davangere,tomato,1776.58,1563.39,1989.77,1.06,26.88,54.53,synthetic_demo_v2
2026-06-13,Davangere,tomato,1829.18,1609.68,2048.69,8.14,28.1,56.25,synthetic_demo_v2
2026-06-14,Davangere,tomato,1897.44,1669.74,2125.13,12.9,27.4,57.77,synthetic_demo_v2
2026-06-15,Davangere,tomato,1850.52,1628.45,2072.58,5.09,26.21,64.73,synthetic_demo_v2
2026-06-16,Davangere,tomato,1883.04,1657.07,2109.0,0.0,29.04,77.53,synthetic_demo_v2
2026-06-17,Davangere,tomato,1829.27,1609.76,2048.78,0.0,26.66,56.75,synthetic_demo_v2
2026-06-18,Davangere,tomato,1821.93,1603.3,2040.56,0.0,26.63,79.42,synthetic_demo_v2
2026-06-19,Davangere,tomato,1787.8,1573.26,2002.33,1.63,25.28,70.11,synthetic_demo_v2
2026-06-20,Davangere,tomato,1793.26,1578.06,2008.45,12.7,26.88,62.02,synthetic_demo_v2
2026-06-21,Davangere,tomato,1826.32,1607.16,2045.47,0.47,25.25,67.42,synthetic_demo_v2
2026-06-22,Davangere,tomato,1828.91,1609.44,2048.37,3.83,26.88,60.92,synthetic_demo_v2
2026-06-23,Davangere,tomato,1853.35,1630.95,2075.75,11.69,25.31,78.9,synthetic_demo_v2
2026-06-24,Davangere,tomato,1851.11,1628.97,2073.24,0.0,28.75,66.24,synthetic_demo_v2
2026-06-25,Davangere,tomato,1907.2,1678.34,2136.07,7.09,24.56,65.97,synthetic_demo_v2
2026-06-26,Davangere,tomato,1887.12,1660.67,2113.57,0.0,24.38,65.82,synthetic_demo_v2
2026-06-27,Davangere,tomato,1911.44,1682.07,2140.82,4.95,25.76,58.61,synthetic_demo_v2
2026-06-28,Davangere,tomato,1877.01,1651.77,2102.25,0.22,24.94,63.37,synthetic_demo_v2
2026-06-29,Davangere,tomato,1884.46,1658.32,2110.59,0.0,25.66,58.92,synthetic_demo_v2
2026-06-30,Davangere,tomato,1892.27,1665.2,2119.34,5.54,25.99,68.78,synthetic_demo_v2
2026-07-01,Davangere,tomato,1842.01,1620.97,2063.05,1.11,26.0,70.13,synthetic_demo_v2
2026-07-02,Davangere,tomato,1804.8,1588.23,2021.38,3.8,26.84,63.57,synthetic_demo_v2
2026-07-03,Davangere,tomato,1828.69,1609.25,2048.14,5.25,25.8,70.4,synthetic_demo_v2
2026-07-04,Davangere,tomato,1854.65,1632.09,2077.21,3.76,24.69,63.64,synthetic_demo_v2
2026-07-05,Davangere,tomato,1917.67,1687.55,2147.79,1.98,25.22,61.07,synthetic_demo_v2
2026-07-06,Davangere,tomato,1952.64,1718.32,2186.96,0.0,26.22,57.5,synthetic_demo_v2
2026-07-07,Davangere,tomato,1916.85,1686.83,2146.87,4.03,25.36,67.38,synthetic_demo_v2
2026-07-08,Davangere,tomato,1963.16,1727.58,2198.74,0.94,25.59,57.72,synthetic_demo_v2
2026-07-09,Davangere,tomato,2007.77,1766.83,2248.7,6.16,25.61,66.5,synthetic_demo_v2
2026-07-10,Davangere,tomato,1972.49,1735.79,2209.18,1.36,25.5,64.85,synthetic_demo_v2
2026-07-11,Davangere,tomato,1976.62,1739.43,2213.81,0.0,25.1,59.46,synthetic_demo_v2
2026-07-12,Davangere,tomato,1938.14,1705.56,2170.72,2.23,22.99,70.59,synthetic_demo_v2
2026-07-13,Davangere,tomato,1975.48,1738.43,2212.54,2.73,23.77,57.44,synthetic_demo_v2
2026-07-14,Davangere,tomato,1970.57,1734.1,2207.03,0.0,24.88,70.32,synthetic_demo_v2
2026-07-15,Davangere,tomato,1961.25,1725.9,2196.6,0.53,24.81,67.81,synthetic_demo_v2
2026-07-16,Davangere,tomato,2003.17,1762.79,2243.56,3.09,23.86,61.31,synthetic_demo_v2
2026-07-17,Davangere,tomato,2004.88,1764.3,2245.47,10.78,24.16,56.58,synthetic_demo_v2
2026-07-18,Davangere,tomato,1969.45,1733.12,2205.79,0.0,24.74,54.11,synthetic_demo_v2
2026-07-19,Davangere,tomato,1928.33,1696.93,2159.73,0.0,23.23,69.55,synthetic_demo_v2
2026-07-20,Davangere,tomato,1892.59,1665.48,2119.7,0.0,24.46,62.27,synthetic_demo_v2
2026-07-21,Davangere,tomato,1924.81,1693.84,2155.79,6.7,24.21,54.62,synthetic_demo_v2
2026-07-22,Davangere,tomato,1930.86,1699.16,2162.56,5.5,23.57,53.5,synthetic_demo_v2
2026-07-23,Davangere,tomato,1978.27,1740.88,2215.67,0.92,23.68,65.13,synthetic_demo_v2
2026-07-24,Davangere,tomato,2013.26,1771.67,2254.85,4.32,23.7,70.46,synthetic_demo_v2
2026-07-25,Davangere,tomato,2079.84,1830.26,2329.42,9.94,24.65,56.02,synthetic_demo_v2
2026-07-26,Davangere,tomato,2188.71,1926.07,2451.36,0.0,23.54,59.4,synthetic_demo_v2
2026-07-27,Davangere,tomato,2200.8,1936.7,2464.9,5.1,22.43,67.14,synthetic_demo_v2
2026-07-28,Davangere,tomato,2171.97,1911.34,2432.61,1.41,22.59,59.2,synthetic_demo_v2
2026-07-29,Davangere,tomato,2113.71,1860.07,2367.36,3.11,23.23,70.88,synthetic_demo_v2
2026-07-30,Davangere,tomato,2048.32,1802.52,2294.11,0.0,22.96,75.79,synthetic_demo_v2
2026-07-31,Davangere,tomato,2008.29,1767.3,2249.29,14.7,24.14,55.68,synthetic_demo_v2
2026-08-01,Davangere,tomato,1966.18,1730.24,2202.12,4.22,22.43,84.0,synthetic_demo_v2
2026-08-02,Davangere,tomato,1925.99,1694.87,2157.11,6.4,25.02,64.13,synthetic_demo_v2
2026-08-03,Davangere,tomato,1892.6,1665.49,2119.71,1.63,23.88,72.01,synthetic_demo_v2
2026-08-04,Davangere,tomato,1901.6,1673.41,2129.79,0.0,23.51,59.61,synthetic_demo_v2
2026-08-05,Davangere,tomato,1829.22,1609.71,2048.72,0.0,22.0,69.69,synthetic_demo_v2
2026-08-06,Davangere,tomato,1914.54,1684.8,2144.29,12.29,22.82,61.26,synthetic_demo_v2
2026-08-07,Davangere,tomato,1937.59,1705.08,2170.1,8.31,22.93,63.86,synthetic_demo_v2
2026-08-08,Davangere,tomato,2007.83,1766.89,2248.78,2.46,22.83,65.96,synthetic_demo_v2
2026-08-09,Davangere,tomato,2005.71,1765.03,2246.4,0.0,23.04,55.67,synthetic_demo_v2
2026-08-10,Davangere,tomato,1972.59,1735.88,2209.3,12.38,23.99,64.26,synthetic_demo_v2
2026-08-11,Davangere,tomato,1921.72,1691.11,2152.33,1.44,24.27,60.51,synthetic_demo_v2
2026-08-12,Davangere,tomato,1962.98,1727.42,2198.54,0.0,22.9,78.94,synthetic_demo_v2
2026-08-13,Davangere,tomato,1873.44,1648.63,2098.25,8.94,21.32,64.28,synthetic_demo_v2
2026-08-14,Davangere,tomato,1864.51,1640.77,2088.25,7.12,19.99,49.66,synthetic_demo_v2
2026-08-15,Davangere,tomato,1842.04,1620.99,2063.08,3.18,22.23,63.23,synthetic_demo_v2
2026-08-16,Davangere,tomato,1800.77,1584.68,2016.87,0.99,22.25,66.95,synthetic_demo_v2
2026-08-17,Davangere,tomato,1828.03,1608.67,2047.4,10.16,22.42,62.46,synthetic_demo_v2
2026-08-18,Davangere,tomato,1829.55,1610.0,2049.1,1.53,23.01,52.5,synthetic_demo_v2
2026-08-19,Davangere,tomato,1840.48,1619.62,2061.34,0.0,22.09,52.29,synthetic_demo_v2
2026-08-20,Davangere,tomato,1875.22,1650.19,2100.25,2.3,24.19,67.18,synthetic_demo_v2
2026-08-21,Davangere,tomato,1801.12,1584.99,2017.26,0.0,23.78,58.87,synthetic_demo_v2
2026-08-22,Davangere,tomato,1761.67,1550.27,1973.06,2.1,22.84,56.91,synthetic_demo_v2
2026-08-23,Davangere,tomato,1755.21,1544.59,1965.84,0.61,20.42,69.02,synthetic_demo_v2
2026-08-24,Davangere,tomato,1731.44,1523.66,1939.21,9.52,21.85,52.36,synthetic_demo_v2
2026-08-25,Davangere,tomato,1780.76,1567.07,1994.45,0.0,22.36,69.78,synthetic_demo_v2
2026-08-26,Davangere,tomato,1765.51,1553.65,1977.37,0.0,23.19,63.45,synthetic_demo_v2
2026-08-27,Davangere,tomato,1808.19,1591.21,2025.18,5.94,26.04,51.83,synthetic_demo_v2
2026-08-28,Davangere,tomato,1795.07,1579.66,2010.48,0.0,24.16,71.57,synthetic_demo_v2
2026-08-29,Davangere,tomato,1810.17,1592.95,2027.39,0.0,22.26,48.76,synthetic_demo_v2
2026-08-30,Davangere,tomato,1854.17,1631.67,2076.67,5.54,22.75,72.47,synthetic_demo_v2
2026-08-31,Davangere,tomato,1854.32,1631.8,2076.84,7.88,21.4,59.29,synthetic_demo_v2
2026-09-01,Davangere,tomato,1833.54,1613.51,2053.56,4.78,23.99,56.93,synthetic_demo_v2
2026-09-02,Davangere,tomato,1813.09,1595.52,2030.66,14.03,23.74,71.96,synthetic_demo_v2
2026-01-26,Davangere,potato,1399.33,1231.41,1567.25,6.84,28.8,65.85,synthetic_demo_v2
2026-01-27,Davangere,potato,1443.94,1270.67,1617.21,0.0,27.68,72.23,synthetic_demo_v2
2026-01-28,Davangere,potato,1412.1,1242.65,1581.55,8.49,26.5,58.56,synthetic_demo_v2
2026-01-29,Davangere,potato,1414.53,1244.79,1584.27,12.66,27.58,72.49,synthetic_demo_v2
2026-01-30,Davangere,potato,1392.52,1225.42,1559.62,3.39,26.18,60.43,synthetic_demo_v2
2026-01-31,Davangere,potato,1431.38,1259.61,1603.14,2.81,28.89,63.38,synthetic_demo_v2
2026-02-01,Davangere,potato,1427.87,1256.53,1599.21,9.38,26.88,52.84,synthetic_demo_v2
2026-02-02,Davangere,potato,1479.1,1301.61,1656.6,5.07,25.45,65.36,synthetic_demo_v2
2026-02-03,Davangere,potato,1461.95,1286.52,1637.39,11.72,26.98,60.35,synthetic_demo_v2
2026-02-04,Davangere,potato,1432.02,1260.18,1603.86,0.0,27.09,53.51,synthetic_demo_v2
2026-02-05,Davangere,potato,1405.33,1236.69,1573.97,0.0,26.38,52.52,synthetic_demo_v2
2026-02-06,Davangere,potato,1403.28,1234.89,1571.68,0.0,26.74,68.83,synthetic_demo_v2
2026-02-07,Davangere,potato,1419.62,1249.27,1589.97,0.84,27.59,77.74,synthetic_demo_v2
2026-02-08,Davangere,potato,1444.15,1270.85,1617.44,5.38,25.55,59.77,synthetic_demo_v2
2026-02-09,Davangere,potato,1380.73,1215.04,1546.41,0.87,28.6,59.61,synthetic_demo_v2
2026-02-10,Davangere,potato,1425.42,1254.37,1596.47,0.0,28.88,52.57,synthetic_demo_v2
2026-02-11,Davangere,potato,1435.11,1262.9,1607.32,5.1,28.93,63.98,synthetic_demo_v2
2026-02-12,Davangere,potato,1521.11,1338.58,1703.64,0.93,28.02,42.92,synthetic_demo_v2
2026-02-13,Davangere,potato,1585.08,1394.87,1775.29,1.16,27.38,75.57,synthetic_demo_v2
2026-02-14,Davangere,potato,1618.67,1424.43,1812.91,3.54,27.2,68.35,synthetic_demo_v2
2026-02-15,Davangere,potato,1581.59,1391.8,1771.38,0.0,29.76,47.94,synthetic_demo_v2
2026-02-16,Davangere,potato,1594.5,1403.16,1785.84,5.3,30.85,67.6,synthetic_demo_v2
2026-02-17,Davangere,potato,1513.85,1332.19,1695.51,0.0,28.94,67.84,synthetic_demo_v2
2026-02-18,Davangere,potato,1556.55,1369.77,1743.34,0.0,28.63,72.76,synthetic_demo_v2
2026-02-19,Davangere,potato,1611.22,1417.87,1804.56,12.31,28.64,73.78,synthetic_demo_v2
2026-02-20,Davangere,potato,1661.54,1462.15,1860.92,8.99,29.83,71.62,synthetic_demo_v2
2026-02-21,Davangere,potato,1614.9,1421.11,1808.68,0.0,30.17,62.22,synthetic_demo_v2
2026-02-22,Davangere,potato,1604.83,1412.25,1797.41,0.11,28.87,66.86,synthetic_demo_v2
2026-02-23,Davangere,potato,1562.51,1375.01,1750.01,3.34,29.58,64.38,synthetic_demo_v2
2026-02-24,Davangere,potato,1538.84,1354.18,1723.5,6.93,31.28,60.19,synthetic_demo_v2
2026-02-25,Davangere,potato,1589.51,1398.77,1780.25,7.45,26.82,58.91,synthetic_demo_v2
2026-02-26,Davangere,potato,1564.88,1377.1,1752.67,6.91,29.73,68.8,synthetic_demo_v2
2026-02-27,Davangere,potato,1589.93,1399.14,1780.72,0.0,28.86,55.22,synthetic_demo_v2
2026-02-28,Davangere,potato,1581.9,1392.07,1771.72,2.4,29.85,59.18,synthetic_demo_v2
2026-03-01,Davangere,potato,1613.23,1419.65,1806.82,7.59,31.29,70.69,synthetic_demo_v2
2026-03-02,Davangere,potato,1613.07,1419.5,1806.64,6.36,30.42,59.79,synthetic_demo_v2
2026-03-03,Davangere,potato,1651.51,1453.33,1849.69,11.59,31.85,65.28,synthetic_demo_v2
2026-03-04,Davangere,potato,1648.34,1450.53,1846.14,5.08,29.93,69.95,synthetic_demo_v2
